18.38,15.50,17.25,0.24,0
20.00,22.29,18.51,0.20,1
11.50,12.36,11.13,0.12,0
25.00,31.84,5.54,0.12,1
52.50,83.90,5.44,0.04,0
82.50,72.25,20.37,0.05,1
25.00,27.14,31.20,0.27,0
30.67,40.41,4.29,0.10,1
12.00,12.42,8.69,0.41,0
61.25,69.42,6.63,0.04,1
60.00,48.46,27.40,0.12,0
57.50,69.00,31.23,0.08,0
31.00,26.09,28.50,0.21,1
60.00,62.83,29.98,0.17,0
72.50,77.06,13.59,0.05,0
60.33,58.83,45.46,0.16,0
49.75,59.48,35.90,0.32,0
8.50,9.00,8.89,0.08,0
36.50,20.64,23.81,0.24,0
60.00,81.40,4.54,0.05,1
16.25,18.92,29.62,0.72,0
50.00,50.32,21.36,0.19,1
11.50,21.33,1.53,0.10,1
35.00,46.85,5.42,0.08,1
75.00,65.94,22.10,0.09,0
31.56,38.68,14.55,0.17,1
48.50,51.19,7.59,0.13,1
77.50,59.42,49.86,0.13,0
21.67,24.64,11.46,0.21,1
19.75,26.94,2.48,0.10,1
56.00,46.20,31.62,0.26,0
25.00,26.86,53.73,0.43,0
40.00,20.00,40.18,0.56,0
56.67,62.52,15.89,0.05,0
51.79,56.00,14.25,0.15,1
96.67,71.41,21.37,0.05,0
50.83,65.00,13.24,0.08,1
34.33,36.28,5.85,0.10,1
48.75,59.88,32.99,0.21,0
25.80,23.62,28.89,0.24,1
20.00,24.20,6.29,0.06,1
16.00,17.09,33.34,0.66,0
48.67,44.56,16.70,0.15,1
20.78,34.46,4.20,0.03,1
32.50,31.55,23.47,0.19,1
19.00,26.94,8.28,0.10,1
51.50,58.71,7.40,0.04,1
49.17,65.74,7.71,0.02,1
85.00,69.05,46.18,0.22,1
58.75,57.54,14.98,0.11,1
19.33,21.73,6.58,0.06,0
5.00,6.17,13.68,0.18,0
65.00,51.00,50.50,0.24,0
20.00,18.25,16.12,0.32,0
62.50,69.88,31.48,0.07,0
35.00,26.68,58.60,0.23,0
99.17,75.73,35.43,0.05,0
40.25,41.77,4.53,0.08,1
39.17,48.50,6.82,0.08,1
37.50,21.89,43.70,0.36,0
26.25,38.33,2.83,0.04,1
52.14,53.95,42.54,0.25,0
22.50,17.17,24.16,0.36,0
90.00,82.00,7.89,0.03,1
28.00,40.60,3.27,0.02,1
50.00,53.89,53.16,0.24,0
24.50,54.17,5.57,0.06,1
